,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
113,456,1,[ 0.04625569 -0.15251553 -0.02954766  0.23939852],0,1.0,0.0,False,[ 0.04320538 -0.34720319 -0.02475969  0.52261679],{},1.0,0.00023293733985557886,1.0,1.0,7.2309770584106445
114,456,2,[ 0.04320538 -0.34720319 -0.02475969  0.52261679],0,1.0,0.0,False,[ 0.03626131 -0.54196806 -0.01430735  0.80739594],{},1.0,0.00023293733985557886,1.0,1.0,7.155079364776611
115,456,3,[ 0.03626131 -0.54196806 -0.01430735  0.80739594],0,1.0,0.0,False,[ 0.02542195 -0.73689103  0.00184056  1.09554426],{},1.0,0.00023293733985557886,1.0,1.0,7.028187274932861
116,456,4,[ 0.02542195 -0.73689103  0.00184056  1.09554426],0,1.0,0.0,False,[ 0.01068413 -0.93203717  0.02375145  1.3888041 ],{},1.0,0.00023293733985557886,1.0,1.0,6.90587854385376
117,456,5,[ 0.01068413 -0.93203717  0.02375145  1.3888041 ],1,1.0,0.0,False,[-0.00795661 -0.73721908  0.05152753  1.10364165],{},1.0,0.00023293733985557886,1.0,1.0,6.792440891265869
118,456,6,[-0.00795661 -0.73721908  0.05152753  1.10364165],0,1.0,0.0,False,[-0.02270099 -0.9329795   0.07360036  1.41203494],{},1.0,0.00023293733985557886,1.0,1.0,6.853344917297363
119,456,7,[-0.02270099 -0.9329795   0.07360036  1.41203494],1,1.0,0.0,False,[-0.04136058 -0.73884305  0.10184106  1.14323761],{},1.0,0.00023293733985557886,1.0,1.0,6.732724189758301
120,456,8,[-0.04136058 -0.73884305  0.10184106  1.14323761],0,1.0,0.0,False,[-0.05613744 -0.93513738  0.12470582  1.46604306],{},1.0,0.00023293733985557886,1.0,1.0,6.786563396453857
121,456,9,[-0.05613744 -0.93513738  0.12470582  1.46604306],1,1.0,0.0,False,[-0.07484019 -0.74174352  0.15402668  1.21477359],{},1.0,0.00023293733985557886,1.0,1.0,6.658873558044434
122,456,10,[-0.07484019 -0.74174352  0.15402668  1.21477359],0,1.0,0.0,False,[-0.08967506 -0.93847997  0.17832215  1.55148961],{},1.0,0.00023293733985557886,1.0,1.0,6.704103946685791
123,456,11,[-0.08967506 -0.93847997  0.17832215  1.55148961],0,1.0,0.0,False,[-0.10844466 -1.13523593  0.20935194  1.89409282],{},1.0,0.00023293733985557886,1.0,1.0,6.569342136383057
124,456,12,[-0.13114938 -1.33192431  0.2472338   2.24378445],0,-1.0,11.0,True,[-0.13114938 -1.33192431  0.2472338   2.24378445],{},-1.0,0.00023293733985557886,1.0,1.0,6.288395404815674
125,504,0,[-0.04190508 -0.02139497 -0.04359574 -0.03762799],0,1.0,0.0,False,[-0.04233298 -0.21586552 -0.0443483   0.24098758],{},1.0,0.00023293733985557886,1.0,1.0,7.283710479736328
126,504,1,[-0.04233298 -0.21586552 -0.0443483   0.24098758],1,1.0,0.0,False,[-0.04665029 -0.02013904 -0.03952855 -0.0653476 ],{},1.0,0.00023293733985557886,1.0,1.0,7.289212226867676
